DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200307650,2/29/2020,Southwest,888,TRESPASSING,70,M,H,Hispanic,SINGLE FAMILY DWELLING,,34.0264,-118.2915
210609956,5/15/2021,Hollywood,888,TRESPASSING,57,F,A,Asian,SINGLE FAMILY DWELLING,,34.098,-118.3657
210618240,10/31/2021,Hollywood,350,"THEFT, PERSON",21,F,W,White,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0962,-118.3332
210617480,10/16/2021,Hollywood,210,ROBBERY,91,F,H,Hispanic,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1015,-118.3417
200107955,2/26/2020,Central,624,BATTERY - SIMPLE ASSAULT,61,F,W,White,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0446,-118.245
211507504,4/1/2021,N Hollywood,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,W,White,GARAGE/CARPORT,,34.174,-118.3965
210305964,2/10/2021,Southwest,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,37,F,H,Hispanic,STREET,CLUB/BAT,34.0263,-118.2808
211608065,5/23/2021,Foothill,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),66,M,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",HAMMER,34.2755,-118.3804
211216913,8/1/2021,77th Street,626,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9763,-118.3294
200305218,1/21/2020,Southwest,624,BATTERY - SIMPLE ASSAULT,63,M,H,Hispanic,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0216,-118.3556
150113956,6/2/2015,Central,354,THEFT OF IDENTITY,52,M,B,Black,SINGLE FAMILY DWELLING,,34.0435,-118.2427
211714415,9/25/2021,Devonshire,354,THEFT OF IDENTITY,53,M,W,White,FINANCE COMPANY,,34.2464,-118.5361
200304069,1/1/2020,Southwest,330,BURGLARY FROM VEHICLE,41,M,H,Hispanic,STREET,,34.032,-118.2768
212011376,7/8/2021,Olympic,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,M,H,Hispanic,OTHER PREMISE,KNIFE WITH BLADE 6INCHES OR LESS,34.0509,-118.2937
200306147,2/5/2020,Southwest,440,THEFT PLAIN - PETTY ($950 & UNDER),63,F,B,Black,STREET,,34.0023,-118.3311
211908952,5/22/2021,Mission,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,A,Asian,PARKING LOT,AIR PISTOL/REVOLVER/RIFLE/BB GUN,34.2475,-118.4476
200306006,2/3/2020,Southwest,626,INTIMATE PARTNER - SIMPLE ASSAULT,65,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0161,-118.3547
